Name,GUID,Length,Width,Start_Point,Mid_Point,End_Point,Building_Storey
Basic Wall:STB 130:2758045,1g6W00HvrA4QIi3g9BlUSX,4.070713322664131,0.13000000000000078,"[17.755000000704456, 25.16571332266403, 7.929999999999999]","[17.755000000704456, 23.130356661331966, 7.929999999999999]","[17.755000000704456, 21.0949999999999, 7.929999999999999]",2. OG OK
Basic Wall:STB 130:2758267,1g6W00HvrA4QIi3g9BlUJ7,4.070713322664131,0.12999999999999645,"[21.55000000070446, 25.165713322664015, 7.929999999999999]","[21.55000000070446, 23.130356661331952, 7.929999999999999]","[21.55000000070446, 21.094999999999885, 7.929999999999999]",2. OG OK
Basic Wall:STB 130:2758361,1g6W00HvrA4QIi3g9BlUHb,4.070713322664131,0.12999999999999645,"[24.685000000000002, 25.165713322664004, 7.929999999999999]","[24.685000000000002, 23.130356661331938, 7.929999999999999]","[24.685000000000002, 21.09499999999987, 7.929999999999999]",2. OG OK
Basic Wall:STB 130:2758452,1g6W00HvrA4QIi3g9BlUM8,3.9200000000001527,0.12999999999999645,"[32.48500000000001, 25.015, 7.929999999999999]","[32.48500000000001, 23.054999999999925, 7.929999999999999]","[32.48500000000001, 21.09499999999985, 7.929999999999999]",2. OG OK
Basic Wall:STB 130:2758546,1g6W00HvrA4QIi3g9BlUKk,4.070713322664131,0.1300000000000051,"[39.87, 25.165713322663954, 7.929999999999999]","[39.87, 23.130356661331888, 7.929999999999999]","[39.87, 21.09499999999982, 7.929999999999999]",2. OG OK
Basic Wall:STB 130:2758629,1g6W00HvrA4QIi3g9BlULP,4.070713322664131,0.1300000000000051,"[44.29, 25.16571332266394, 7.929999999999999]","[44.29, 23.130356661331874, 7.929999999999999]","[44.29, 21.094999999999807, 7.929999999999999]",2. OG OK
Basic Wall:STB 130:2758699,1g6W00HvrA4QIi3g9BlUgN,4.070713322664131,0.1300000000000051,"[46.92999999999999, 25.165713322663933, 7.929999999999999]","[46.92999999999999, 23.130356661331867, 7.929999999999999]","[46.92999999999999, 21.0949999999998, 7.929999999999999]",2. OG OK
Basic Wall:STB 130:2758791,1g6W00HvrA4QIi3g9BlUex,4.070713322664131,0.1300000000000051,"[51.12000000000003, 25.16571332266392, 7.929999999999999]","[51.12000000000003, 23.130356661331852, 7.929999999999999]","[51.12000000000003, 21.094999999999786, 7.929999999999999]",2. OG OK
Basic Wall:STB 130:2758873,1g6W00HvrA4QIi3g9BlUfb,4.070713322664136,0.1300000000000051,"[54.41999999999997, 25.165713322663912, 7.929999999999999]","[54.41999999999997, 23.130356661331845, 7.929999999999999]","[54.41999999999997, 21.094999999999775, 7.929999999999999]",2. OG OK
Basic Wall:STB 130:2758949,1g6W00HvrA4QIi3g9BlUkP,3.9257133226641345,0.13000000000000517,"[61.66999999999952, 25.165713322663883, 7.929999999999999]","[61.66999999999952, 23.202856661331815, 7.929999999999999]","[61.66999999999952, 21.23999999999975, 7.929999999999999]",2. OG OK
Basic Wall:STB 130:2759045,1g6W00HvrA4QIi3g9BlUiv,3.9257133226641345,0.1300000000000051,"[65.29500000000007, 25.165713322663873, 7.929999999999999]","[65.29500000000007, 23.202856661331808, 7.929999999999999]","[65.29500000000007, 21.23999999999974, 7.929999999999999]",2. OG OK
Zusatz 14:Zusatz 14:2759886,1g6W00HvrA4QIi3g9BlUvo,3.512431976289231,1.7285242323105008,"[2.881475767689494, 21.650506437337622, 7.929999999999999]","[2.881475767689494, 23.406722425482236, 7.929999999999999]","[2.881475767689494, 25.162938413626854, 7.929999999999999]",2. OG OK
Basic Wall:STB 380:2761219,1Xj1LpTKn0hwDOnO9U2tMj,4.070713322664136,0.3800000000000002,"[24.97000000744208, 25.165713322664004, 7.629999999999997]","[24.97000000744208, 23.130356661331938, 7.629999999999997]","[24.97000000744208, 21.094999999999867, 7.629999999999997]",1. OG OK
