WallName,WallGlobalId,Name,GUID,Length,Width,Start_Point,Mid_Point,End_Point,Building_Storey
Basic Wall:STB 150:2914601,2xha1EVebBy8ZbcTVjtfSG,Basic Wall:STB 150:2914601,2$5Q5d1cv7IBTYgF5epSNu,0.8099999999999978,3.048,"[28.080000005014387, 22.090999999999916, 11.059999999999999]","[28.485000005014385, 22.090999999999916, 11.059999999999999]","[28.890000005014386, 22.090999999999916, 11.059999999999999]",
Basic Wall:STB 150:2914663,2xha1EVebBy8ZbcTVjtfTU,Basic Wall:STB 150:2914663,2$5Q5d1cv7IBTYgF5epSB2,3.048,0.9000000000000034,"[61.13100000258499, 20.11999999999994, 11.059999999999999]","[62.655000002584984, 20.11999999999994, 11.059999999999999]","[64.17900000258498, 20.11999999999994, 11.059999999999999]",
Basic Wall:STB 150:2915041,2xha1EVebBy8ZbcTVjtfJO,Basic Wall:STB 150:2915041,28jhNlq9DDXviyg_sNlYxR,3.048,0.8099999999999978,"[50.59100000167141, 21.774999999999842, 11.059999999999999]","[52.11500000167141, 21.774999999999842, 11.059999999999999]","[53.63900000167141, 21.774999999999842, 11.059999999999999]",
Basic Wall:STB 150:2915100,2xha1EVebBy8ZbcTVjtfKb,Basic Wall:STB 150:2915100,2$5Q5d1cv7IBTYgF5epSIW,3.048,0.8099999999999978,"[45.741000005014236, 21.77499999999985, 11.059999999999999]","[47.26500000501424, 21.77499999999985, 11.059999999999999]","[48.78900000501424, 21.77499999999985, 11.059999999999999]",
Basic Wall:STB 0600:2915534,2xha1EVebBy8ZbcTVjtfBt,Basic Wall:STB 0600:2915534,28jhNlq9DDXviyg_sNlYu2,3.048,1.1159999999999974,"[31.1994151416981, 24.063999999999997, 11.059999999999999]","[32.7234151416981, 24.063999999999997, 11.059999999999999]","[34.2474151416981, 24.063999999999997, 11.059999999999999]",
Basic Wall:STB 0600:2915534,2xha1EVebBy8ZbcTVjtfBt,Basic Wall:STB 0600:2915534,28jhNlq9DDXviyg_sNlYxq,3.048,0.4,"[31.199415141698093, 23.639499999999945, 12.039999999999996]","[32.72341514169809, 23.639499999999945, 12.039999999999996]","[34.24741514169809, 23.639499999999945, 12.039999999999996]",
Basic Wall:STB 0600:2915656,2xha1EVebBy8ZbcTVjtfDn,Basic Wall:STB 0600:2915656,2$5Q5d1cv7IBTYgF5epTYG,3.048,1.1159999999999974,"[61.221000002585, 24.084000000000003, 11.059999999999999]","[62.745000002585, 24.084000000000003, 11.059999999999999]","[64.269000002585, 24.084000000000003, 11.059999999999999]",
Basic Wall:STB 0500:2923253,2$5Q5d1cv7IBTYgE9epSYO,Basic Wall:STB 0500:2923253,28jhNlq9DDXviyg_sNlWOo,3.048,1.0338999999999987,"[1.2859999999999916, 24.101099999999995, 11.059999999999999]","[2.8099999999999916, 24.101099999999995, 11.059999999999999]","[4.333999999999992, 24.101099999999995, 11.059999999999999]",
Basic Wall:STB 0500:2923253,2$5Q5d1cv7IBTYgE9epSYO,Basic Wall:STB 0500:2923253,28jhNlq9DDXviyg_sNlWR0,3.0479999999999996,0.4,"[1.2359999999999915, 23.62109999999999, 12.039999999999996]","[2.7599999999999913, 23.62109999999999, 12.039999999999996]","[4.283999999999991, 23.62109999999999, 12.039999999999996]",
Basic Wall:STB 140:3076717,0W4jBZGp1B88T7$Zl5xzWn,Basic Wall:STB 140:3076717,0W4jBZGp1B88T7$YZ5xzY5,0.8900000000000056,3.048,"[44.459999999999994, 1.2709999999999664, 4.439999999999993]","[44.905, 1.2709999999999664, 4.439999999999993]","[45.35, 1.2709999999999664, 4.439999999999993]",
Basic Wall:STB 140:3077207,2eCNYA6Cf1VPnLzmYlvnLN,Basic Wall:STB 140:3077207,2eCNYA6Cf1VPnLznklvnM8,0.8603000000000037,3.048,"[44.84999999999997, 2.880999999999971, 4.439999999999998]","[45.28014999999998, 2.880999999999971, 4.439999999999998]","[45.710299999999975, 2.880999999999971, 4.439999999999998]",
Basic Wall:STB 400:3079085,08og38$Q11V9Gd90lq6$Ns,Basic Wall:STB 400:3079085,3efBAlq6r70PJA$E82wF0S,3.048,1.2698999999999994,"[61.195999999999984, 16.552051524324757, -0.49000000000000205]","[62.719999999999985, 16.552051524324757, -0.49000000000000205]","[64.24399999999999, 16.552051524324757, -0.49000000000000205]",
Basic Wall:STB 365:3079989,08og38$Q11V9Gd90lq6$5k,Basic Wall:STB 365:3079989,3Mhbu98Xb7Pf3vKBsmX30j,3.166750362706812,1.7328302981330672,"[62.54834708026479, 16.4280007384354, -0.49000000000000205]","[64.1317222616182, 16.4280007384354, -0.49000000000000205]","[65.7150974429716, 16.4280007384354, -0.49000000000000205]",
Basic Wall:STB 240:3085357,37YpOTh7bEnRuV_vNvV_tR,Basic Wall:STB 240:3085357,0PGOXOdgzC0unapcrJZ04_,0.9866000000000009,3.048,"[38.74961350740181, 15.77099999999995, -4.005000000000002]","[39.24291350740181, 15.77099999999995, -4.005000000000002]","[39.736213507401814, 15.77099999999995, -4.005000000000002]",
Basic Wall:STB 160:3090545,37YpOTh7bEnRuV_vNvVz67,Basic Wall:STB 160:3090545,37YpOTh7bEnRuV_uRvVz3S,1.3450000000000062,3.0479999999999996,"[41.214999999999954, 3.0359999999999987, 4.439999999999998]","[41.88749999999996, 3.0359999999999987, 4.439999999999998]","[42.55999999999996, 3.0359999999999987, 4.439999999999998]",
Basic Wall:STB 160:3090797,3LSZjRJGH9IxZcstBmEn7Y,Basic Wall:STB 160:3090797,3LSZjRJGH9IxZcss7mEn4O,1.3450000000000062,3.048,"[41.21062663723745, 3.031888987333271, 7.7499999999999964]","[41.88312663723745, 3.031888987333271, 7.7499999999999964]","[42.55562663723746, 3.031888987333271, 7.7499999999999964]",
Basic Wall:STB 140:3091085,3LSZjRJGH9IxZcstBmEn82,Basic Wall:STB 140:3091085,0zxhb1jwvFrB4v08eU$wXC,0.8603000000000037,3.0480000000000005,"[44.72499999999999, 2.8809999999999603, 7.7499999999999964]","[45.15514999999999, 2.8809999999999603, 7.7499999999999964]","[45.58529999999999, 2.8809999999999603, 7.7499999999999964]",
